title,averageStar,quantity,tradeAmount,wishedCount,tradeAmount_num,category,log_quantity,log_wishedCount,log_tradeAmount,language,title_en,title_curto,pet_type
Mesh Litter Spatula Poop Remover Pet Cleaning Supplies Large Litter Spatula Tofu Litter Litter Box Cat Poop,0.0,9993,5 sold,0,5.0,Higiene,9.20974019190415,0.0,1.791759469228055,en,Mesh Litter Spatula Poop Remover Pet Cleaning Supplies Large Litter Spatula Tofu Litter Litter Box Cat Poop,Mesh Litter Spatula Poop,Gato
Rechargeable Mini Pet Communication Small Recording Button Cats Dogs Eating Speaking Voice Speaker Buttons Talk Training Ringing,5.0,1986,28 sold,64,28.0,Outros,7.594381242551817,4.174387269895637,3.367295829986474,en,Rechargeable Mini Pet Communication Small Recording Button Cats Dogs Eating Speaking Voice Speaker Buttons Talk Training Ringing,Rechargeable Mini Pet Communication,Cachorro
Dog Cooling Bed Mat Summer Puppy Cushion Soft Non-slip Pet Sleeping Mats for Small Medium Dogs Pet Accessories,4.5,529,20 sold,38,20.0,Conforto,6.272877006546167,3.6635616461296463,3.044522437723423,en,Dog Cooling Bed Mat Summer Puppy Cushion Soft Non-slip Pet Sleeping Mats for Small Medium Dogs Pet Accessories,Dog Cooling Bed Mat,Cachorro
Automatic Pet Feeder with Active RFID Technology Prevents Food Stealing Perfect for Prescription Diets Schedules Meals,0.0,10,0 sold,1,0.0,Alimentação,2.3978952727983707,0.6931471805599453,0.0,en,Automatic Pet Feeder with Active RFID Technology Prevents Food Stealing Perfect for Prescription Diets Schedules Meals,Automatic Pet Feeder with,Outros
Replace Plush Cat Toy Accessories Worms Replacement Head Funny Cat Stick Pet Toys 5/10/6/11 Pcs,4.9,102222,"1,000+ sold",418,1000.0,Brinquedos,11.53491198035571,6.037870919922137,6.90875477931522,en,Replace Plush Cat Toy Accessories Worms Replacement Head Funny Cat Stick Pet Toys 5/10/6/11 Pcs,Replace Plush Cat Toy,Gato
Pet Bell Cute Color 22mm Paint Christmas Decorations Keychain Charming Key Chain Accessories Candy Colors Colorful Bells,4.6,28,46 sold,25,46.0,Outros,3.367295829986474,3.258096538021482,3.8501476017100575,en,Pet Bell Cute Color 22mm Paint Christmas Decorations Keychain Charming Key Chain Accessories Candy Colors Colorful Bells,Pet Bell Cute Color,Outros
Dog Bed Super Soft Washable Four Seasons Common Pet Kennel Deep Sleep Dog House Velvet Mats Sofa Pet Cat Bed for Dog Basket,0.0,240,0 sold,1,0.0,Conforto,5.484796933490655,0.6931471805599453,0.0,no,Dog Bed Super Soft Washable Four Seasons Common Pet Kennel Deep Sleep Dog House Velvet Mats Sofa Pet Cat Bed for Dog Basket,Dog Bed Super Soft,Cachorro
Cats and Dogs Pet Plush Dinosaur Toys Interactive Dog Chew Toys Plush Stuffing Pet Supplies Dog Toys for Small Dogs,5.0,78,98 sold,85,98.0,Brinquedos,4.3694478524670215,4.454347296253507,4.59511985013459,en,Cats and Dogs Pet Plush Dinosaur Toys Interactive Dog Chew Toys Plush Stuffing Pet Supplies Dog Toys for Small Dogs,Cats and Dogs Pet,Cachorro
Dog Toys Pet Flying Disk Training Ring Puller Anti-Bite Floating Interactive Supplies Dog Toys Aggressive Chewing,4.8,1903,"1,000+ sold",572,1000.0,Brinquedos,7.55171221535131,6.35088571671474,6.90875477931522,en,Dog Toys Pet Flying Disk Training Ring Puller Anti-Bite Floating Interactive Supplies Dog Toys Aggressive Chewing,Dog Toys Pet Flying,Cachorro
3 in 1 Dog Steamer Brush Electric Spray Cat Hair Brush Comb Massage Pet Grooming Remove Tangles and Loose Hair Supplies Steamy,4.7,912,"2,000+ sold",1187,2000.0,Higiene,6.816735880594968,7.080026499922591,7.601402334583733,en,3 in 1 Dog Steamer Brush Electric Spray Cat Hair Brush Comb Massage Pet Grooming Remove Tangles and Loose Hair Supplies Steamy,3 in 1 Dog,Cachorro
Non-slip Cat Litter Mat With Gift Waterproof Double Layer Pet Litter Box Mat Sand Cat Pad Bed Mat Clean Pad Cat Accessories,4.8,275,445 sold,901,445.0,Conforto,5.62040086571715,6.804614520062624,6.100318952020064,en,Non-slip Cat Litter Mat With Gift Waterproof Double Layer Pet Litter Box Mat Sand Cat Pad Bed Mat Clean Pad Cat Accessories,Non-slip Cat Litter Mat,Gato
Dog Collapsible Bowl Folding Silicone Pet Travel Bowls Food Water Feeding BPA Free Foldable Cup Dish With Carabiner,4.9,69902,129 sold,146,129.0,Alimentação,11.154863845755866,4.990432586778736,4.867534450455582,en,Dog Collapsible Bowl Folding Silicone Pet Travel Bowls Food Water Feeding BPA Free Foldable Cup Dish With Carabiner,Dog Collapsible Bowl Folding,Cachorro
Pet Dog Cat Paw Print Ink Kit Pad Baby Handprint Footprint Safe Non-toxic Mess-free DIY Hand Footprint Easy Clean Pet Souvenir,4.7,918,500+ sold,411,500.0,Higiene,6.823286122355687,6.021023349349527,6.2166061010848646,en,Pet Dog Cat Paw Print Ink Kit Pad Baby Handprint Footprint Safe Non-toxic Mess-free DIY Hand Footprint Easy Clean Pet Souvenir,Pet Dog Cat Paw,Cachorro
Personalized Collar Pet ID Tag Custom Free Engraved Cat Dog Puppy Name Necklace Gold Paw Glitter Pendant Pet Accessories 3CM,4.6,7883,69 sold,93,69.0,Acessórios,8.97259066827261,4.543294782270004,4.248495242049359,en,Personalized Collar Pet ID Tag Custom Free Engraved Cat Dog Puppy Name Necklace Gold Paw Glitter Pendant Pet Accessories 3CM,Personalized Collar Pet ID,Cachorro
Electric Cat Toy Fish Pet Cat Toys Simulation Fish Swing Kitten Dance Fish Toy Funny Cats Chewing Playing Supplies USB Charging,4.7,244,"2,000+ sold",1694,2000.0,Brinquedos,5.501258210544727,7.43543801981455,7.601402334583733,en,Electric Cat Toy Fish Pet Cat Toys Simulation Fish Swing Kitten Dance Fish Toy Funny Cats Chewing Playing Supplies USB Charging,Electric Cat Toy Fish,Gato
Pets Stainless Steel Grooming Brush Two-Sided Shedding and Dematting Undercoat Rake Comb for Dog Cat Remove Knots Tangles Easily,4.8,449,"1,000+ sold",2464,1000.0,Conforto,6.1092475827643655,7.80994708647679,6.90875477931522,en,Pets Stainless Steel Grooming Brush Two-Sided Shedding and Dematting Undercoat Rake Comb for Dog Cat Remove Knots Tangles Easily,Pets Stainless Steel Grooming,Cachorro
