title_en,title,title_curto,averageStar,quantity,tradeAmount,wishedCount,tradeAmount_num,category,pet_type
1 pc adjustable pet dog nylon rope training leash slip  traction collar  lead keten nylon hond touw training pet supplies,1 pc adjustable pet dog nylon rope training leash slip  traction collar  lead keten nylon hond touw training pet supplies,1 pc adjustable pet,5.0,116,16 sold,337,16.0,Acessórios,Cachorro
1 pc cat toys silvervine chew stick polygonum kitty raffia grass pet supplies cleaning teeth stick pet bite cat toy hemp rope,1 pc cat toys silvervine chew stick polygonum kitty raffia grass pet supplies cleaning teeth stick pet bite cat toy hemp rope,1 pc cat toys,3.266666666666667,1397,"5,000+ sold1 sold84 sold",1692,5085.0,Brinquedos,Gato
1 pc pets dog traction rope garbage portable hook bag hands-free clip pet poop bag holder cleaning tools supplies,1 pc pets dog traction rope garbage portable hook bag hands-free clip pet poop bag holder cleaning tools supplies,1 pc pets dog,5.0,129,19 sold,7,19.0,Higiene,Cachorro
1 pcs 27cm dog toys funny cotton rope toys for small puppy dogs pet chew toys pet supplies random colors,1 pcs 27cm dog toys funny cotton rope toys for small puppy dogs pet chew toys pet supplies random colors,1 pcs 27cm dog,4.5,880,27 sold,11,27.0,Brinquedos,Cachorro
1 pcs outdoor training whistle dogs repeller pet training whistle anti bark dogs training flute pet supplies dog pet accessories,1 pcs outdoor training whistle dogs repeller pet training whistle anti bark dogs training flute pet supplies dog pet accessories,1 pcs outdoor training,4.1,183,316 sold,261,316.0,Outros,Cachorro
1 pcs winter warm cat cushion soft comfortable long plush pet house creative 2 in 1 sleeping bag for kitten puppy,1 pcs winter warm cat cushion soft comfortable long plush pet house creative 2 in 1 sleeping bag for kitten puppy,1 pcs winter warm,4.3,66,215 sold,208,215.0,Brinquedos,Cachorro
"1 piece of dog pet cotton rope plush sound toy, three styles of flannel deer","1 piece of dog pet cotton rope plush sound toy, three styles of flannel deer",1 piece of dog,4.5,29,87 sold,40,87.0,Brinquedos,Cachorro
1 piece pet cat dog training clicker pet obedient whistle adjustable wrist strap sound key chain household pet supplies,1 piece pet cat dog training clicker pet obedient whistle adjustable wrist strap sound key chain household pet supplies,1 piece pet cat,4.4,1058,73 sold,39,73.0,Conforto,Cachorro
"1 piece pet glasses, dog products, glasses, sunglasses, uv protection, dog sunglasses, cat sunglasses","1 шт. очки для домашних животных, товары для собак, очки, солнцезащитные очки, уф-защита, солнцезащитные очки для собак, солнцезащитные очки для кошек","1 piece pet glasses,",4.0,55,5 продано,8,5.0,Outros,Cachorro
1 roll 15 bags pet dog poop bags dispenser collector garbage bag puppy cat pooper scooper bag outdoor clean pets supplies,1 roll 15 bags pet dog poop bags dispenser collector garbage bag puppy cat pooper scooper bag outdoor clean pets supplies,1 roll 15 bags,5.0,29,111 sold,377,111.0,Higiene,Cachorro
1 set adjustable dog ear stand corrector care tool ears erector stand up tool for dogs samoyed doberman pet supplies universal,1 set adjustable dog ear stand corrector care tool ears erector stand up tool for dogs samoyed doberman pet supplies universal,1 set adjustable dog,5.0,4,28 sold,17,28.0,Outros,Cachorro
1 set cat plush toy gun plush launcher silent interactive tool mini shooting gun games stretch plush ball toys pet supplies,1 set cat plush toy gun plush launcher silent interactive tool mini shooting gun games stretch plush ball toys pet supplies,1 set cat plush,4.8,14,148 sold,57,148.0,Brinquedos,Gato
1 set pet pills applicator cat dogs syringe medicine water milk feeder insect repellent supplies can clip pills pet water feeder,1 set pet pills applicator cat dogs syringe medicine water milk feeder insect repellent supplies can clip pills pet water feeder,1 set pet pills,4.9,198,129 sold,75,129.0,Alimentação,Cachorro
1-15roll pet dog poop bags dispenser collector garbage bag puppy cat pooper scooper bag small rolls outdoor clean pets supplies,1-15roll pet dog poop bags dispenser collector garbage bag puppy cat pooper scooper bag small rolls outdoor clean pets supplies,1-15roll pet dog poop,5.0,1338,391 sold,78,391.0,Higiene,Cachorro
1.5kg/2kg dog cat food pail plastic storage tank with measuring cup container moisture-proof sealed jar pet supplies accessories,1.5kg/2kg dog cat food pail plastic storage tank with measuring cup container moisture-proof sealed jar pet supplies accessories,1.5kg/2kg dog cat food,4.6,6222,"1,000+ sold27 sold",3483,1027.0,Alimentação,Cachorro
1/1.5l dog pet floating bowl cat dog drinking water cat drive water bowl pet non-wetting mouth water drinker pet supplies,1/1.5l dog pet floating bowl cat dog drinking water cat drive water bowl pet non-wetting mouth water drinker pet supplies,1/1.5l dog pet floating,5.0,2886,86 sold,101,86.0,Alimentação,Cachorro
